Name,Species,Gender,Personality,Hobby,Catchphrase,Favorite Song,Style 1,Style 2,Color 1,Color 2,Wallpaper,Flooring,name,birthday_month,birthday_day,sign,nh_details.quote,nh_details.image_url,nh_details.photo_url,nh_details.icon_url,nh_details.sub-personality,nh_details.house_interior_url,nh_details.house_exterior_url
Annalise,Horse,Female,Snooty,Fashion,nipper,Aloha K.K.,Elegant,Active,Blue,Purple,tropical vista,yellow floral flooring,Annalise,December,2,Sagittarius,Let gossip go in one ear and out the other.,https://dodo.ac/np/images/c/c4/Annalise_NH.png,https://dodo.ac/np/images/1/19/Annalise%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/54/Annalise_NH_Villager_Icon.png,B,https://dodo.ac/np/images/2/28/House_of_Annalise_NH.jpg,https://dodo.ac/np/images/a/a7/House_of_Annalise_NH_Model.png
Antonio,Anteater,Male,Jock,Fitness,honk,K.K. Ragtime,Simple,Simple,Light blue,Blue,starry wall,wooden-knot flooring,Antonio,October,20,Libra,Always go for the burn!,https://dodo.ac/np/images/d/d4/Antonio_NH.png,https://dodo.ac/np/images/6/67/Antonio%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/3/34/Antonio_NH_Villager_Icon.png,B,https://dodo.ac/np/images/7/76/House_of_Antonio_NH.jpg,https://dodo.ac/np/images/1/18/House_of_Antonio_NH_Model.png
Apollo,Eagle,Male,Cranky,Music,pah,K.K. Rock,Cool,Simple,Black,Black,shutter wall,slate flooring,Apollo,July,4,Cancer,What goes up must come down.,https://dodo.ac/np/images/0/0e/Apollo_NH_Transparent.png,https://dodo.ac/np/images/8/82/Apollo%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/0b/Apollo_NH_Villager_Icon.png,B,https://dodo.ac/np/images/f/f2/House_of_Apollo_NH.jpg,https://dodo.ac/np/images/c/c6/House_of_Apollo_NH_Model.png
Apple,Hamster,Female,Peppy,Play,cheekers,I Love You,Cute,Simple,Colorful,Red,apple wall,simple white flooring,Apple,September,24,Libra,One rotten apple spoils the barrel.,https://dodo.ac/np/images/5/57/Apple_NH.png,https://dodo.ac/np/images/7/76/Apple%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/9/91/Apple_NH_Villager_Icon.png,A,https://dodo.ac/np/images/f/f3/House_of_Apple_NH.jpg,https://dodo.ac/np/images/f/f3/House_of_Apple_NH_Model.png
Astrid,Kangaroo,Female,Snooty,Music,my pet,K.K. Gumbo,Cool,Active,Black,Colorful,backyard-fence wall,backyard lawn,Astrid,September,8,Virgo,The apple doesn't fall far from the tree.,https://dodo.ac/np/images/d/d5/Astrid_NH.png,https://dodo.ac/np/images/d/d8/Astrid%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/2/2a/Astrid_NH_Villager_Icon.png,B,https://dodo.ac/np/images/c/ce/House_of_Astrid_NH.jpg,https://dodo.ac/np/images/1/1b/House_of_Astrid_NH_Model.png
Audie,Wolf,Female,Peppy,Fitness,foxtrot,K.K. Island,Cute,Active,Green,White,tropical vista,green floral flooring,Audie,August,31,Virgo,Be the kind of person your future self won't regret having been.,https://dodo.ac/np/images/1/1b/Audie_NH.png,https://dodo.ac/np/images/4/46/Audie%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/9/9e/Audie_NH_Villager_Icon.png,A,https://dodo.ac/np/images/0/03/House_of_Audie_NH.png,https://dodo.ac/np/images/1/1e/House_of_Audie_NH_Model.png
Aurora,Penguin,Female,Normal,Education,b-b-baby,Stale Cupcakes,Cute,Elegant,Pink,Red,ice wall,ice flooring,Aurora,January,27,Aquarius,Always keep your cool.,https://dodo.ac/np/images/5/59/Aurora_NH.png,https://dodo.ac/np/images/2/2b/Aurora%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/2/25/Aurora_NH_Villager_Icon.png,B,https://dodo.ac/np/images/3/35/House_of_Aurora_NH.jpg,https://dodo.ac/np/images/f/f2/House_of_Aurora_NH_Model.png
Ava,Chicken,Female,Normal,Music,beaker,K.K. Love Song,Elegant,Cute,Red,Gray,white-rose wall,simple white flooring,Ava,April,28,Taurus,"Early to bed, early to rise.",https://dodo.ac/np/images/c/cc/Ava_NH.png,https://dodo.ac/np/images/6/6d/Ava%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/7/73/Ava_NH_Villager_Icon.png,B,https://dodo.ac/np/images/0/09/House_of_Ava_NH.jpg,https://dodo.ac/np/images/2/25/House_of_Ava_NH_Model.png
Avery,Eagle,Male,Cranky,Music,skree-haw,K.K. Condor,Simple,Gorgeous,Orange,Brown,western vista,rocky-mountain flooring,Avery,February,22,Pisces,What goes around comes around.,https://dodo.ac/np/images/d/dd/Avery_NH.png,https://dodo.ac/np/images/5/59/Avery%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/e/e2/Avery_NH_Villager_Icon.png,B,https://dodo.ac/np/images/7/7e/House_of_Avery_NH.jpg,https://dodo.ac/np/images/c/cf/House_of_Avery_NH_Model.png
Axel,Elephant,Male,Jock,Fitness,WHONK,K.K. Dixie,Active,Simple,Green,White,blue playroom wall,blue rubber flooring,Axel,March,23,Aries,Do not compare a fly with an elephant.,https://dodo.ac/np/images/0/09/Axel_NH.png,https://dodo.ac/np/images/7/7c/Axel%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/9/93/Axel_NH_Villager_Icon.png,B,https://dodo.ac/np/images/0/0e/House_of_Axel_NH.jpg,https://dodo.ac/np/images/3/38/House_of_Axel_NH_Model.png
Baabara,Sheep,Female,Snooty,Fashion,daahling,K.K. Cruisin',Gorgeous,Elegant,Purple,Blue,stormy-night wall,brown iron-parquet flooring,Baabara,March,28,Aries,Don't just follow the flock.,https://dodo.ac/np/images/d/df/Baabara_NH.png,https://dodo.ac/np/images/8/8b/Baabara%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/4/4c/Baabara_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/89/House_of_Baabara_NH.jpg,https://dodo.ac/np/images/1/13/House_of_Baabara_NH_Model.png
Bam,Deer,Male,Jock,Play,kablang,K.K. Blues,Active,Simple,Green,Brown,concrete wall,blue rubber flooring,Bam,November,7,Scorpio,Get while the getting's good.,https://dodo.ac/np/images/2/2b/Bam_NH.png,https://dodo.ac/np/images/f/f0/Bam%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/f/fd/Bam_NH_Villager_Icon.png,A,https://dodo.ac/np/images/6/65/House_of_Bam_NH.jpg,https://dodo.ac/np/images/1/14/House_of_Bam_NH_Model.png
Bangle,Tiger,Female,Peppy,Fashion,growf,K.K. Soul,Gorgeous,Cute,Yellow,Green,yellow intricate wall,blue floral flooring,Bangle,August,27,Virgo,Don't blink or you'll miss it.,https://dodo.ac/np/images/6/68/Bangle_NH.png,https://dodo.ac/np/images/2/22/Bangle%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/e/ec/Bangle_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/8a/House_of_Bangle_NH.jpg,https://dodo.ac/np/images/e/ef/House_of_Bangle_NH_Model.png
Barold,Cub,Male,Lazy,Play,cubby,K.K. Song,Simple,Cool,Yellow,Black,security-monitors wall,monochromatic tile flooring,Barold,March,2,Pisces,Please DO feed the bears!,https://dodo.ac/np/images/9/9d/Barold_NH.png,https://dodo.ac/np/images/7/7f/Barold%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/b/b5/Barold_NH_Villager_Icon.png,A,https://dodo.ac/np/images/a/a8/House_of_Barold_NH.jpg,https://dodo.ac/np/images/b/bf/House_of_Barold_NH_Model.png
Bea,Dog,Female,Normal,Nature,bingo,Drivin',Simple,Cool,Light blue,Green,blackboard wall,cork flooring,Bea,October,15,Libra,The perfect pair complements each other.,https://dodo.ac/np/images/c/c2/Bea_NH.png,https://dodo.ac/np/images/a/ab/Bea%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/f/f6/Bea_NH_Villager_Icon.png,A,https://dodo.ac/np/images/e/ea/House_of_Bea_NH.jpg,https://dodo.ac/np/images/0/01/House_of_Bea_NH_Model.png
Beardo,Bear,Male,Smug,Education,whiskers,K.K. Milonga,Elegant,Elegant,Brown,Blue,blue-crown wall,simple purple flooring,Beardo,September,27,Libra,Fashion first!,https://dodo.ac/np/images/c/c0/Beardo_NH.png,https://dodo.ac/np/images/0/0b/Beardo%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/8/89/Beardo_NH_Villager_Icon.png,A,https://dodo.ac/np/images/5/50/House_of_Beardo_NH.png,https://dodo.ac/np/images/4/44/House_of_Beardo_NH_Model.png
Beau,Deer,Male,Lazy,Nature,saltlick,Mountain Song,Simple,Cute,Beige,Orange,meadow vista,daisy meadow,Beau,April,5,Aries,"You snooze, you lose.",https://dodo.ac/np/images/d/d4/Beau_NH.png,https://dodo.ac/np/images/a/a0/Beau%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/d/d3/Beau_NH_Villager_Icon.png,A,https://dodo.ac/np/images/7/7b/House_of_Beau_NH.jpg,https://dodo.ac/np/images/4/45/House_of_Beau_NH_Model.png
Becky,Chicken,Female,Snooty,Music,chicklet,K.K. Chorale,Gorgeous,Elegant,Purple,Pink,palace wall,palace tile,Becky,December,9,Sagittarius,A fool and his Bells are soon parted.,https://dodo.ac/np/images/7/74/Becky_NH.png,https://dodo.ac/np/images/7/7e/Becky%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/0c/Becky_NH_Villager_Icon.png,B,https://dodo.ac/np/images/5/54/House_of_Becky_NH.jpg,https://dodo.ac/np/images/5/53/House_of_Becky_NH_Model.png
Bella,Mouse,Female,Peppy,Music,eeks,K.K. Metal,Cool,Active,Black,Purple,concrete wall,skull-print flooring,Bella,December,28,Capricorn,A glamour shot is worth a thousand words.,https://dodo.ac/np/images/c/c0/Bella_NH.png,https://dodo.ac/np/images/7/77/Bella%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/53/Bella_NH_Villager_Icon.png,B,https://dodo.ac/np/images/3/32/House_of_Bella_NH.jpg,https://dodo.ac/np/images/1/1f/House_of_Bella_NH_Model.png
Benedict,Chicken,Male,Lazy,Play,uh-hoo,I Love You,Simple,Simple,Blue,Purple,backyard-fence wall,backyard lawn,Benedict,October,10,Libra,Don't put all your eggs in one basket.,https://dodo.ac/np/images/3/3a/Benedict_NH.png,https://dodo.ac/np/images/3/38/Benedict%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/4/40/Benedict_NH_Villager_Icon.png,B,https://dodo.ac/np/images/1/1b/House_of_Benedict_NH.jpg,https://dodo.ac/np/images/1/13/House_of_Benedict_NH_Model.png
Benjamin,Dog,Male,Lazy,Nature,alrighty,Mr. K.K.,Simple,Simple,Red,White,common wall,common flooring,Benjamin,August,3,Leo,A good dog deserves a good treat.,https://dodo.ac/np/images/9/97/Benjamin_NH.png,https://dodo.ac/np/images/8/85/Benjamin%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/57/Benjamin_NH_Villager_Icon.png,A,https://dodo.ac/np/images/2/2b/House_of_Benjamin_NH.jpg,https://dodo.ac/np/images/a/a2/House_of_Benjamin_NH_Model.png
Bertha,Hippo,Female,Normal,Education,bloop,Two Days Ago,Cute,Elegant,Pink,White,white-rose wall,rose flooring,Bertha,April,25,Taurus,The best part of spring is the picnics!,https://dodo.ac/np/images/a/a7/Bertha_NH.png,https://dodo.ac/np/images/6/6d/Bertha%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/7/78/Bertha_NH_Villager_Icon.png,B,https://dodo.ac/np/images/d/d3/House_of_Bertha_NH.jpg,https://dodo.ac/np/images/0/06/House_of_Bertha_NH_Model.png
Bettina,Mouse,Female,Normal,Education,eekers,Animal City,Simple,Elegant,White,Red,blackboard wall,birch flooring,Bettina,June,12,Gemini,No time like the present!,https://dodo.ac/np/images/b/bd/Bettina_NH.png,https://dodo.ac/np/images/2/20/Bettina%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/a/a5/Bettina_NH_Villager_Icon.png,B,https://dodo.ac/np/images/0/03/House_of_Bettina_NH.png,https://dodo.ac/np/images/9/93/House_of_Bettina_NH_Model.png
Bianca,Tiger,Female,Peppy,Play,glimmer,K.K. House,Cute,Cute,Pink,Orange,white-brick wall,leopard-print flooring,Bianca,December,13,Sagittarius,There is such a thing as love at first sight.,https://dodo.ac/np/images/6/6f/Bianca_NH.png,https://dodo.ac/np/images/3/35/Bianca%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/a/ab/Bianca_NH_Villager_Icon.png,A,https://dodo.ac/np/images/7/76/House_of_Bianca_NH.jpg,https://dodo.ac/np/images/6/6a/House_of_Bianca_NH_Model.png
Biff,Hippo,Male,Jock,Fitness,squirt,The K. Funk,Gorgeous,Active,Black,Blue,street-art wall,paintball flooring,Biff,March,29,Aries,Eighth place is just the seventh loser.,https://dodo.ac/np/images/9/9c/Biff_NH.png,https://dodo.ac/np/images/2/2b/Biff%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/07/Biff_NH_Villager_Icon.png,B,https://dodo.ac/np/images/1/19/House_of_Biff_NH.jpg,https://dodo.ac/np/images/4/4c/House_of_Biff_NH_Model.png
Big Top,Elephant,Male,Lazy,Play,villain,Go K.K. Rider,Simple,Active,Green,Green,construction-site wall,steel flooring,Big Top,October,3,Libra,A big nose never spoiled a handsome face.,https://dodo.ac/np/images/8/80/Big_Top_NH.png,https://dodo.ac/np/images/7/70/Big_Top%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/4/4a/Big_Top_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/88/House_of_Big_Top_NH.jpg,https://dodo.ac/np/images/c/c5/House_of_Big_Top_NH_Model.png
Bill,Duck,Male,Jock,Play,quacko,Imperial K.K.,Active,Active,Blue,Purple,bamboo-screen wall,bamboo flooring,Bill,February,1,Aquarius,"Even though there's no 'I' in team, there is a 'me'!",https://dodo.ac/np/images/c/c1/Bill_NH.png,https://dodo.ac/np/images/2/2e/Bill%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/0e/Bill_NH_Villager_Icon.png,A,https://dodo.ac/np/images/e/e4/House_of_Bill_NH.jpg,https://dodo.ac/np/images/4/4d/House_of_Bill_NH_Model.png
Billy,Goat,Male,Jock,Play,dagnaabit,K.K. Song,Simple,Active,Blue,Purple,manga-library wall,garbage-heap flooring,Billy,March,25,Aries,Old dogs can learn new tricks.,https://dodo.ac/np/images/2/26/Billy_NH.png,https://dodo.ac/np/images/a/aa/Billy%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/d/d1/Billy_NH_Villager_Icon.png,A,https://dodo.ac/np/images/0/0e/House_of_Billy_NH.jpg,https://dodo.ac/np/images/f/f4/House_of_Billy_NH_Model.png
Biskit,Dog,Male,Lazy,Play,dawg,K.K. Mambo,Gorgeous,Simple,Purple,Colorful,backyard-fence wall,backyard lawn,Biskit,May,13,Taurus,Let sleeping dogs lie.,https://dodo.ac/np/images/7/78/Biskit_NH.png,https://dodo.ac/np/images/c/cc/Biskit%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/2/25/Biskit_NH_Villager_Icon.png,B,https://dodo.ac/np/images/c/ca/House_of_Biskit_NH.jpg,https://dodo.ac/np/images/6/6e/House_of_Biskit_NH_Model.png
Bitty,Hippo,Female,Snooty,Education,my dear,K.K. Disco,Cute,Elegant,Pink,Orange,gray molded-panel wall,lobby flooring,Bitty,October,6,Libra,Necessity is the mother of all invention.,https://dodo.ac/np/images/7/74/Bitty_NH.png,https://dodo.ac/np/images/6/6f/Bitty%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/4/43/Bitty_NH_Villager_Icon.png,A,https://dodo.ac/np/images/f/f2/House_of_Bitty_NH.jpg,https://dodo.ac/np/images/9/9a/House_of_Bitty_NH_Model.png
Blaire,Squirrel,Female,Snooty,Fashion,nutlet,K.K. Bossa,Gorgeous,Elegant,Orange,Brown,arched-window wall,gold iron-parquet flooring,Blaire,July,3,Cancer,Practice makes perfect.,https://dodo.ac/np/images/7/73/Blaire_NH.png,https://dodo.ac/np/images/5/5c/Blaire%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/a/ac/Blaire_NH_Villager_Icon.png,B,https://dodo.ac/np/images/2/2a/House_of_Blaire_NH.jpg,https://dodo.ac/np/images/e/e1/House_of_Blaire_NH_Model.png
Blanche,Ostrich,Female,Snooty,Nature,quite so,K.K. Jongara,Elegant,Gorgeous,Black,Brown,standard tearoom wall,tatami flooring,Blanche,December,21,Sagittarius,Nothing beats personal experience.,https://dodo.ac/np/images/d/df/Blanche_NH.png,https://dodo.ac/np/images/c/cd/Blanche%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/2/28/Blanche_NH_Villager_Icon.png,A,https://dodo.ac/np/images/7/7a/House_of_Blanche_NH.jpg,https://dodo.ac/np/images/e/e2/House_of_Blanche_NH_Model.png
Bluebear,Cub,Female,Peppy,Fashion,peach,Only Me,Cute,Simple,White,Blue,blue simple-cloth wall,blue dot flooring,Bluebear,June,24,Cancer,Candy makes the world go 'round.,https://dodo.ac/np/images/4/49/Bluebear_NH.png,https://dodo.ac/np/images/3/39/Bluebear%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/52/Bluebear_NH_Villager_Icon.png,B,https://dodo.ac/np/images/2/26/House_of_Bluebear_NH.jpg,https://dodo.ac/np/images/9/95/House_of_Bluebear_NH_Model.png
Bob,Cat,Male,Lazy,Play,pthhpth,Neapolitan,Simple,Cute,Colorful,Red,blue playroom wall,colorful puzzle flooring,Bob,January,1,Capricorn,You only live once...or nine times.,https://dodo.ac/np/images/e/ea/Bob_NH.png,https://dodo.ac/np/images/3/3c/Bob%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/f/f4/Bob_NH_Villager_Icon.png,B,https://dodo.ac/np/images/e/e1/House_of_Bob_NH.jpg,https://dodo.ac/np/images/e/e4/House_of_Bob_NH_Model.png
Bonbon,Rabbit,Female,Peppy,Play,deelish,Bubblegum K.K.,Cute,Elegant,Light blue,Yellow,cute yellow wall,white-paint flooring,Bonbon,March,3,Pisces,Hindsight is always 20/20.,https://dodo.ac/np/images/c/cc/Bonbon_NH.png,https://dodo.ac/np/images/c/c2/Bonbon%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/3/3a/Bonbon_NH_Villager_Icon.png,A,https://dodo.ac/np/images/b/bf/House_of_Bonbon_NH.jpg,https://dodo.ac/np/images/6/65/House_of_Bonbon_NH_Model.png
Bones,Dog,Male,Lazy,Play,yip yip,K.K. Étude,Simple,Cute,Beige,Brown,classic-library wall,light wood-pattern flooring,Bones,August,4,Leo,A snack a day keeps the vacuum away.,https://dodo.ac/np/images/2/2b/Bones_NH.png,https://dodo.ac/np/images/3/3c/Bones%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/4/41/Bones_NH_Villager_Icon.png,B,https://dodo.ac/np/images/3/3c/House_of_Bones_NH.png,https://dodo.ac/np/images/7/76/House_of_Bones_NH_Model.png
Boomer,Penguin,Male,Lazy,Fitness,human,Farewell,Simple,Cool,Brown,Beige,iceberg wall,iceberg flooring,Boomer,February,7,Aquarius,Flying is believing.,https://dodo.ac/np/images/7/7d/Boomer_NH.png,https://dodo.ac/np/images/4/44/Boomer%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/5e/Boomer_NH_Villager_Icon.png,B,https://dodo.ac/np/images/e/ec/House_of_Boomer_NH.png,https://dodo.ac/np/images/6/63/House_of_Boomer_NH_Model.png
Boone,Gorilla,Male,Jock,Fitness,baboom,Mountain Song,Elegant,Cool,Colorful,Red,cabin wall,wooden-knot flooring,Boone,September,12,Virgo,Never settle for second best.,https://dodo.ac/np/images/1/19/Boone_NH.png,https://dodo.ac/np/images/a/a9/Boone%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/7/7e/Boone_NH_Villager_Icon.png,B,https://dodo.ac/np/images/f/f9/House_of_Boone_NH.jpg,https://dodo.ac/np/images/9/97/House_of_Boone_NH_Model.png
